,PDBID,pK
10102,2bdy,7.77
10103,2fx9,7.77
10104,2g70,7.77
10105,2jh6,7.77
10106,2jsd,7.77
10107,2lzg,7.77
10108,2osc,7.77
10109,2pj7,7.77
10110,2qe2,7.77
10111,2qm9,7.77
10112,2vv9,7.77
10113,3chs,7.77
10114,3cyw,7.77
10115,3d7g,7.77
10116,3dsz,7.77
10117,3et7,7.77
10118,3gm0,7.77
10119,3hy9,7.77
10120,3io7,7.77
10121,3iop,7.77
10122,3k5c,7.77
10123,3kwb,7.77
10124,3mi2,7.77
10125,3qpn,7.77
10126,3r22,7.77
10127,3rcd,7.77
10128,3rq7,7.77
10129,3ske,7.77
10130,3tzm,7.77
10131,3uvq,7.77
10132,3uw4,7.77
10133,4alu,7.77
10134,4cpx,7.77
10135,4dh6,7.77
10136,4g1f,7.77
10137,4gzt,7.77
10138,4hvg,7.77
10139,4jyv,7.77
10140,4ke0,7.77
10141,4lov,7.77
10142,4m3q,7.77
10143,4md6,7.77
10144,4nga,7.77
10145,4obp,7.77
10146,4oho,7.77
10147,4pge,7.77
10148,4rj8,7.77
10149,4w9o,7.77
10150,4wsy,7.77
10151,4y83,7.77
10152,5apr,7.77
10153,5cbm,7.77
10154,5csz,7.77
10155,6apr,7.77
10156,2bu5,7.78
10157,2q6c,7.78
10158,4jln,7.78
10159,4kni,7.78
10160,4knn,7.78
10161,4q1d,7.78
10162,1j19,7.79
10163,1ywh,7.79
10164,2zwz,7.79
10165,1al7,7.80
10166,1cwc,7.80
10167,1f28,7.80
10168,1g49,7.80
10169,1q6j,7.80
10170,1u1b,7.80
10171,1v48,7.80
10172,1x8t,7.80
10173,2chz,7.80
10174,2ea2,7.80
10175,2hd6,7.80
10176,2i19,7.80
10177,2oph,7.80
10178,2ra0,7.80
10179,2wl0,7.80
10180,3agl,7.80
10181,3czv,7.80
10182,3g5v,7.80
10183,3g8o,7.80
10184,3hq5,7.80
10185,3kba,7.80
10186,3oy1,7.80
10187,3phe,7.80
10188,3qgy,7.80
10189,3rwj,7.80
10190,3ryj,7.80
10191,3s3i,7.80
10192,3t07,7.80
10193,3unz,7.80
10194,4a9r,7.80
10195,4aa5,7.80
10196,4c1m,7.80
10197,4fny,7.80
10198,4fnz,7.80
10199,4glx,7.80
10200,4hvs,7.80
10201,4ijp,7.80
10202,4j3l,7.80
10203,4jzr,7.80
10204,4n6z,7.80
10205,4p44,7.80
10206,4p45,7.80
10207,4pg9,7.80
10208,4qem,7.80
10209,4qjw,7.80
10210,4qxt,7.80
10211,4r93,7.80
10212,4rj4,7.80
10213,4uiv,7.80
10214,4uxq,7.80
10215,4w9p,7.80
10216,4x6j,7.80
10217,5cte,7.80
10218,5cy3,7.80
10219,2yem,7.81
10220,4gr3,7.81
10221,4o4y,7.81
10222,1b6h,7.82
10223,1eat,7.82
10224,1gfw,7.82
10225,1nde,7.82
10226,1nf8,7.82
10227,1njs,7.82
10228,1nvs,7.82
10229,1q3d,7.82
10230,1sqq,7.82
10231,1yly,7.82
10232,2a4r,7.82
10233,2b8l,7.82
10234,2bdl,7.82
10235,2cf9,7.82
10236,2euf,7.82
10237,2f9v,7.82
10238,2j34,7.82
10239,2jg0,7.82
10240,2o4n,7.82
10241,2o5k,7.82
10242,2o7n,7.82
10243,2oc0,7.82
10244,2pj5,7.82
10245,2ptz,7.82
10246,2pu0,7.82
10247,2x6e,7.82
10248,2xbx,7.82
10249,2xfi,7.82
10250,2xjg,7.82
10251,3bi6,7.82
10252,3dz6,7.82
10253,3gcp,7.82
10254,3koo,7.82
10255,3l13,7.82
10256,3mj1,7.82
10257,3mj2,7.82
10258,3n2p,7.82
10259,3n51,7.82
10260,3ncz,7.82
10261,3odi,7.82
10262,3prs,7.82
10263,3tpp,7.82
10264,3uo6,7.82
10265,3uph,7.82
10266,3vx3,7.82
10267,3we4,7.82
10268,3zp9,7.82
10269,4a4l,7.82
10270,4b0g,7.82
10271,4bfp,7.82
10272,4bgg,7.82
10273,4k0y,7.82
10274,4n9e,7.82
10275,4no9,7.82
10276,4o13,7.82
10277,4pp3,7.82
10278,4qpd,7.82
10279,4wuy,7.82
10280,4x9r,7.82
10281,4y5h,7.82
10282,4z1q,7.82
10283,4zsa,7.82
10284,5ake,7.82
10285,5bq0,7.82
10286,1m5f,7.83
10287,3mz3,7.83
10288,3ole,7.83
10289,4gr8,7.83
10290,3cd7,7.84
10291,3ibl,7.84
10292,3n2u,7.84
10293,3olg,7.84
10294,3ttn,7.84
10295,3twj,7.84
10296,4gzp,7.84
10297,1a94,7.85
10298,1b8y,7.85
10299,1cny,7.85
10300,1jwt,7.85
10301,1laf,7.85
10302,1lbf,7.85
10303,1lst,7.85
10304,1o2t,7.85
10305,1w12,7.85
10306,1x78,7.85
10307,2fle,7.85
10308,2gv7,7.85
10309,2oz7,7.85
10310,2x8e,7.85
10311,2xcs,7.85
10312,3bel,7.85
10313,3bi0,7.85
10314,3c84,7.85
10315,3cib,7.85
10316,3d7d,7.85
10317,3dd8,7.85
10318,3e51,7.85
10319,3efk,7.85
10320,3eta,7.85
10321,3h9k,7.85
10322,3i5n,7.85
10323,3ika,7.85
10324,3ooz,7.85
10325,3qti,7.85
10326,3sut,7.85
10327,3tl5,7.85
10328,3ua8,7.85
10329,3uw5,7.85
10330,3uyt,7.85
10331,3vw6,7.85
10332,4avu,7.85
10333,4bjc,7.85
10334,4dfw,7.85
10335,4fs3,7.85
10336,4gk4,7.85
10337,4i0r,7.85
10338,4ieh,7.85
10339,4kbc,7.85
10340,4mc1,7.85
10341,4o44,7.85
10342,4p4b,7.85
10343,4pcs,7.85
10344,4pg3,7.85
10345,4qlv,7.85
10346,4r76,7.85
10347,4r95,7.85
10348,4rak,7.85
10349,4res,7.85
10350,4u6r,7.85
10351,4x5r,7.85
10352,4x7q,7.85
10353,4x9v,7.85
10354,5dgz,7.85
10355,1fq6,7.86
10356,2ydv,7.86
10357,2zas,7.86
10358,3hwx,7.86
10359,4zl4,7.86
10360,2z6w,7.87
10361,3ccw,7.87
10362,4rvk,7.87
10363,2clv,7.88
10364,3sie,7.88
10365,4ele,7.88
10366,5ap6,7.88
10367,1au2,7.89
10368,1bm6,7.89
10369,1cwb,7.89
10370,1erq,7.89
10371,1fzo,7.89
10372,1gj7,7.89
10373,1h2t,7.89
10374,1h2u,7.89
10375,1klg,7.89
10376,1kvo,7.89
10377,1npz,7.89
10378,1q6m,7.89
10379,1qng,7.89
10380,1v79,7.89
10381,1vjb,7.89
10382,1waw,7.89
10383,1wdy,7.89
10384,1x7a,7.89
10385,1ywr,7.89
10386,2ajl,7.89
10387,2f3k,7.89
10388,2g2r,7.89
10389,2j50,7.89
10390,2onc,7.89
10391,2ovz,7.89
10392,2pj4,7.89
10393,2qd9,7.89
10394,2vj6,7.89
10395,2wf4,7.89
10396,2xfj,7.89
10397,2xxy,7.89
10398,2ylc,7.89
10399,2ym8,7.89
10400,2zn7,7.89
10401,3a29,7.89
10402,3c56,7.89
10403,3e3u,7.89
10404,3f8s,7.89
10405,3gxz,7.89
10406,3h59,7.89
10407,3hig,7.89
10408,3i81,7.89
10409,3kr5,7.89
10410,3mg6,7.89
10411,3mg7,7.89
10412,3mvl,7.89
10413,3n75,7.89
10414,3rz5,7.89
10415,3uoh,7.89
10416,3uzp,7.89
10417,3v04,7.89
10418,3vtc,7.89
10419,3wax,7.89
10420,4axm,7.89
10421,4b5d,7.89
10422,4bzo,7.89
10423,4djs,7.89
10424,4dzw,7.89
10425,4eg4,7.89
10426,4ehr,7.89
10427,4g8m,7.89
10428,4gts,7.89
10429,4igt,7.89
10430,4j1k,7.89
10431,4kb8,7.89
10432,4m8e,7.89
10433,4mz4,7.89
10434,4ruy,7.89
10435,4rx9,7.89
10436,4u93,7.89
10437,4y85,7.89
10438,4yp8,7.89
10439,4ytc,7.89
10440,4yti,7.89
10441,4zz1,7.89
10442,5d7r,7.89
10443,2e9v,7.90
10444,2yiq,7.90
10445,3cd5,7.90
10446,3hha,7.90
10447,3k22,7.90
10448,4gk7,7.90
10449,4uiu,7.90
10450,1ajx,7.91
10451,2h5j,7.91
10452,2q1l,7.91
10453,2qk8,7.91
10454,3sv8,7.91
10455,4a50,7.91
10456,1avp,7.92
10457,1b6j,7.92
10458,1c4y,7.92
10459,1f90,7.92
10460,1k1p,7.92
10461,1p2a,7.92
10462,1q6s,7.92
10463,1tfq,7.92
10464,1tg5,7.92
10465,1tl7,7.92
10466,1xbc,7.92
10467,1zfk,7.92
10468,2cem,7.92
10469,2gbf,7.92
10470,2hxl,7.92
10471,2irz,7.92
10472,2jjb,7.92
10473,2ovv,7.92
10474,2pj2,7.92
10475,2pj9,7.92
10476,2q7o,7.92
10477,2w1e,7.92
10478,2x6d,7.92
10479,2y0j,7.92
10480,2yj2,7.92
10481,3au6,7.92
10482,3d7z,7.92
10483,3e0p,7.92
10484,3eft,7.92
10485,3fi3,7.92
10486,3fz1,7.92
10487,3h9f,7.92
10488,3hhm,7.92
10489,3hv7,7.92
10490,3ivi,7.92
10491,3kc0,7.92
10492,3o0u,7.92
10493,3od0,7.92
10494,3p3j,7.92
10495,3q92,7.92
10496,3qpp,7.92
10497,3rah,7.92
10498,3sbi,7.92
10499,3vtd,7.92
10500,3wdc,7.92
10501,3wv2,7.92
10502,4a6c,7.92
10503,4ael,7.92
10504,4at4,7.92
10505,4bcn,7.92
10506,4bky,7.92
10507,4cws,7.92
10508,4g0c,7.92
10509,4g68,7.92
10510,4hbm,7.92
10511,4hge,7.92
10512,4hs8,7.92
10513,4j1f,7.92
10514,4j5p,7.92
10515,4kmu,7.92
10516,4mq1,7.92
10517,4mzs,7.92
10518,4phu,7.92
10519,4qga,7.92
10520,4quo,7.92
10521,4rux,7.92
10522,4wt6,7.92
10523,4xv3,7.92
10524,4yjn,7.92
10525,5aix,7.92
10526,5e1s,7.92
10527,3daz,7.93
10528,4g34,7.93
10529,1mem,7.94
10530,2ewa,7.94
10531,3dcs,7.94
10532,3hqy,7.94
10533,4gtp,7.94
10534,1leg,7.95
10535,1sqb,7.95
10536,2itp,7.95
10537,3bh8,7.95
10538,3fmq,7.95
10539,3t85,7.95
10540,3u7n,7.95
10541,4b7j,7.95
10542,4bxk,7.95
10543,4knj,7.95
10544,1epo,7.96
10545,1g2k,7.96
10546,1hvh,7.96
10547,1idb,7.96
10548,1nzq,7.96
10549,1o3e,7.96
10550,1o3f,7.96
10551,1o3g,7.96
10552,1qxl,7.96
10553,1xom,7.96
10554,2e1w,7.96
10555,2e2b,7.96
10556,2eh8,7.96
10557,2j6m,7.96
10558,2oah,7.96
10559,2oc9,7.96
10560,2p3a,7.96
10561,2p83,7.96
10562,2q15,7.96
10563,2qe4,7.96
10564,2x8z,7.96
10565,2zva,7.96
10566,3a5y,7.96
10567,3bgq,7.96
10568,3e3b,7.96
10569,3ekw,7.96
10570,3fzr,7.96
10571,3g5d,7.96
10572,3iok,7.96
10573,3iww,7.96
10574,3mhc,7.96
10575,3ndm,7.96
10576,3nnx,7.96
10577,3nwb,7.96
10578,3pp0,7.96
10579,3qs1,7.96
10580,3r4p,7.96
10581,3rvi,7.96
10582,3sni,7.96
10583,3uh4,7.96
10584,3uuo,7.96
10585,3v5j,7.96
10586,3vw9,7.96
10587,3w5e,7.96
10588,4ap7,7.96
10589,4bcj,7.96
10590,4g2j,7.96
10591,4j2t,7.96
10592,4jbs,7.96
10593,4k3n,7.96
10594,4m4q,7.96
10595,4m5u,7.96
10596,4ncg,7.96
10597,4ngp,7.96
10598,4pp7,7.96
10599,4r59,7.96
10600,4r7m,7.96
10601,4uvx,7.96
10602,4y46,7.96
10603,4y79,7.96
10604,4y8c,7.96
10605,4yt6,7.96
10606,5ajx,7.96
10607,5ea7,7.96
10608,3amv,7.97
10609,3fmr,7.97
10610,3ldw,7.97
10611,4x1f,7.97
10612,5ap1,7.97
10613,5ap5,7.97
10614,4gto,7.98
10615,1mf4,7.99
10616,3oyq,7.99
10617,1a4k,8.00
10618,1apw,8.00
10619,1ayv,8.00
10620,1b57,8.00
10621,1b5g,8.00
10622,1bzs,8.00
10623,1dqn,8.00
10624,1fkg,8.00
10625,1fpp,8.00
10626,1fvv,8.00
10627,1g2a,8.00
10628,1gaf,8.00
10629,1gai,8.00
10630,1i5d,8.00
10631,1nc6,8.00
10632,1o46,8.00
10633,1qin,8.00
10634,1r0p,8.00
10635,1rmz,8.00
10636,1sm2,8.00
10637,1tkb,8.00
10638,1tps,8.00
10639,1utr,8.00
10640,1vyg,8.00
10641,1xws,8.00
10642,1ycm,8.00
10643,1yhs,8.00
10644,1ym2,8.00
10645,1ypg,8.00
10646,1yw8,8.00
10647,1z3j,8.00
10648,2ama,8.00
10649,2e94,8.00
10650,2hah,8.00
10651,2p4i,8.00
10652,2r3j,8.00
10653,2r3m,8.00
10654,2r6f,8.00
10655,2vnt,8.00
10656,2vwn,8.00
10657,2w1c,8.00
10658,2wev,8.00
10659,2xbw,8.00
10660,2ymt,8.00
10661,2z8e,8.00
10662,3b92,8.00
10663,3c9e,8.00
10664,3co9,8.00
10665,3cvk,8.00
10666,3cwj,8.00
10667,3cyx,8.00
10668,3d5m,8.00
10669,3dba,8.00
10670,3dej,8.00
10671,3e92,8.00
10672,3fc1,8.00
10673,3fur,8.00
10674,3gkz,8.00
10675,3gur,8.00
10676,3gvu,8.00
10677,3gzn,8.00
10678,3hs4,8.00
10679,3hx3,8.00
10680,3k97,8.00
10681,3l0e,8.00
10682,3l8x,8.00
10683,3nga,8.00
10684,3oy0,8.00
10685,3qd3,8.00
10686,3rey,8.00
10687,3rwd,8.00
10688,3s7m,8.00
10689,3sio,8.00
10690,3t0x,8.00
10691,3zcl,8.00
10692,4a6l,8.00
10693,4ap0,8.00
10694,4axa,8.00
10695,4bxn,8.00
10696,4d08,8.00
10697,4dr9,8.00
10698,4ehz,8.00
10699,4f7l,8.00
10700,4g8l,8.00
10701,4hcu,8.00
10702,4ht0,8.00
10703,4jjf,8.00
10704,4jyu,8.00
10705,4kfp,8.00
10706,4knm,8.00
10707,4l4m,8.00
10708,4lp0,8.00
10709,4lpb,8.00
10710,4lv2,8.00
10711,4mb9,8.00
10712,4mo8,8.00
10713,4o2c,8.00
10714,4o2e,8.00
10715,4o9v,8.00
10716,4poh,8.00
10717,4pzh,8.00
10718,4qg7,8.00
10719,4twt,8.00
10720,4u45,8.00
10721,4x6i,8.00
10722,4yff,8.00
10723,4ykn,8.00
10724,4zjj,8.00
10725,4zx0,8.00
10726,5bml,8.00
10727,8abp,8.00
10728,9abp,8.00
10729,1m5b,8.01
10730,1v7a,8.01
10731,2cc7,8.01
10732,2pj1,8.01
10733,3p44,8.01
10734,3vje,8.01
10735,4muw,8.01
10736,1b7h,8.02
10737,2cet,8.02
10738,2zdt,8.02
10739,3iit,8.02
10740,3n4c,8.02
10741,3v49,8.02
10742,4n00,8.02
10743,4uye,8.02
10744,4yes,8.02
10745,1z6j,8.03
10746,4elf,8.03
10747,4x5y,8.03
10748,1mpa,8.04
10749,1rhj,8.04
10750,2mpa,8.04
10751,3at3,8.04
10752,3vzv,8.04
10753,4gtm,8.04
10754,4m2u,8.04
10755,4q1f,8.04
10756,4zz2,8.04
10757,5tmn,8.04
10758,1hih,8.05
10759,1hrn,8.05
10760,1jjt,8.05
10761,1ke7,8.05
10762,1lqd,8.05
10763,1o42,8.05
10764,1ong,8.05
10765,1qj1,8.05
10766,1sjh,8.05
10767,1vyf,8.05
10768,1x7r,8.05
10769,2b9a,8.05
10770,2bqv,8.05
10771,2i0h,8.05
10772,2iw9,8.05
10773,2jjk,8.05
10774,2jkh,8.05
10775,2no3,8.05
10776,2wxh,8.05
10777,2xc4,8.05
10778,2xcg,8.05
10779,2xm9,8.05
10780,2xxt,8.05
10781,2y80,8.05
10782,2z60,8.05
10783,2zv9,8.05
10784,3ag9,8.05
10785,3cd8,8.05
10786,3emg,8.05
10787,3ens,8.05
10788,3eqy,8.05
10789,3ml2,8.05
10790,3mwu,8.05
10791,3nnw,8.05
10792,3ot8,8.05
10793,3oys,8.05
10794,3qkl,8.05
10795,3txo,8.05
10796,3u8l,8.05
10797,4a4o,8.05
10798,4aa4,8.05
10799,4b8y,8.05
10800,4bcc,8.05
10801,4byi,8.05
10802,4hdb,8.05
10803,4mk9,8.05
10804,4o4g,8.05
10805,4ogv,8.05
10806,4oth,8.05
10807,4q19,8.05
10808,4qhp,8.05
10809,4rfd,8.05
10810,4urm,8.05
10811,4wmc,8.05
10812,4x7l,8.05
10813,4y8d,8.05
10814,4yqh,8.05
10815,4zhm,8.05
10816,5abg,8.05
10817,5ece,8.05
10818,1iwq,8.06
10819,1zgb,8.06
10820,2qu5,8.06
10821,3dbu,8.06
10822,3hiw,8.06
10823,3ovz,8.06
10824,4avt,8.06
10825,4fab,8.06
10826,4i5m,8.06
10827,5ea5,8.06
10828,1dva,8.07
10829,1gni,8.07
10830,1jtq,8.07
10831,1wxz,8.07
10832,2jbo,8.07
10833,2jbp,8.07
10834,3ant,8.07
10835,3jwr,8.07
10836,3l9n,8.07
10837,3oxz,8.07
10838,3r2y,8.07
10839,3v8w,8.07
10840,3vbd,8.07
10841,4exg,8.07
10842,4um9,8.07
10843,1siv,8.08
10844,2q70,8.08
10845,3fmz,8.08
10846,3ifl,8.08
10847,3k39,8.08
10848,3lil,8.08
10849,3wd9,8.08
10850,4edz,8.08
10851,4hzz,8.08
10852,4mf0,8.08
10853,4qlu,8.08
10854,4wxi,8.08
10855,6fiv,8.08
10856,1acj,8.09
10857,1lhf,8.09
10858,2pj0,8.09
10859,2rkg,8.09
10860,2yfx,8.09
10861,3hub,8.09
10862,3kqe,8.09
10863,3oe6,8.09
10864,3s2a,8.09
10865,3tu7,8.09
10866,4elh,8.09
10867,4his,8.09
10868,4kzc,8.09
10869,4loy,8.09
10870,5cf6,8.09
10871,1dbk,8.10
10872,1erb,8.10
10873,1fzj,8.10
10874,1ghy,8.10
10875,1l6m,8.10
10876,1ody,8.10
10877,1p4r,8.10
10878,1pq6,8.10
10879,1qj7,8.10
10880,1rhr,8.10
10881,1rt1,8.10
10882,1stc,8.10
10883,1uk0,8.10
10884,1xud,8.10
10885,1ype,8.10
10886,1zxc,8.10
10887,2a5u,8.10
10888,2b52,8.10
10889,2cf8,8.10
10890,2e9u,8.10
10891,2hiw,8.10
10892,2iog,8.10
10893,2pvj,8.10
10894,2qk5,8.10
10895,2ql5,8.10
10896,2qp8,8.10
10897,2qzl,8.10
10898,2rcw,8.10
10899,2vvu,8.10
10900,2wpa,8.10
10901,3at4,8.10
10902,3caj,8.10
10903,3ccc,8.10
10904,3f15,8.10
10905,3ion,8.10
10906,3ith,8.10
10907,3jzs,8.10
10908,3kr8,8.10
10909,3l58,8.10
10910,3l8v,8.10
10911,3l9h,8.10
10912,3lox,8.10
10913,3lxs,8.10
10914,3nal,8.10
10915,3nx7,8.10
10916,3qai,8.10
10917,3skg,8.10
10918,3tyv,8.10
10919,3vw7,8.10
10920,4bid,8.10
10921,4d0x,8.10
10922,4e90,8.10
10923,4eg5,8.10
10924,4eqc,8.10
10925,4frk,8.10
10926,4hai,8.10
10927,4hgl,8.10
10928,4i1c,8.10
10929,4i9i,8.10
10930,4jq8,8.10
10931,4nwm,8.10
10932,4oq3,8.10
10933,4p10,8.10
10934,4pms,8.10
10935,4poj,8.10
10936,4r74,8.10
10937,4rwl,8.10
10938,4ryg,8.10
10939,4u44,8.10
10940,4wf2,8.10
10941,4wht,8.10
10942,4why,8.10
10943,4wke,8.10
10944,4wnp,8.10
10945,4xy2,8.10
10946,4zj4,8.10
10947,4zxx,8.10
10948,4zyi,8.10
10949,5ar8,8.10
10950,1err,8.11
10951,1ndz,8.11
10952,1nvr,8.11
10953,2jko,8.11
10954,2jkq,8.11
10955,2pq9,8.11
10956,2znu,8.11
10957,3fv2,8.11
10958,3vry,8.11
10959,3vye,8.11
10960,4aze,8.11
10961,4cp7,8.11
10962,4ge4,8.11
10963,4p6g,8.11
10964,4puz,8.11
10965,4v01,8.11
10966,4v04,8.11
10967,4z1j,8.11
10968,4z7i,8.11
10969,5ea4,8.11
10970,1o5r,8.12
10971,2k2g,8.12
10972,2yi0,8.12
10973,3hiv,8.12
10974,3rwc,8.12
10975,3upx,8.12
10976,4li8,8.12
10977,4ngs,8.12
10978,2yk1,8.13
10979,3dng,8.13
10980,3oev,8.13
10981,3q3k,8.13
10982,4pop,8.13
10983,4qfr,8.13
10984,5alc,8.13
10985,1g35,8.14
10986,1yqj,8.14
10987,3b4f,8.14
10988,3ljz,8.14
10989,3lxg,8.14
10990,3odu,8.14
10991,3oe8,8.14
10992,3ryx,8.14
10993,4buq,8.14
10994,4isi,8.14
10995,4jt9,8.14
10996,4q07,8.14
10997,4rlp,8.14
10998,1aq1,8.15
10999,1fkh,8.15
11000,1g27,8.15
11001,1ikx,8.15
11002,1jlq,8.15
11003,1pfy,8.15
11004,1pmn,8.15
11005,1tfz,8.15
11006,1tt1,8.15
11007,1u9x,8.15
11008,1w5v,8.15
11009,2ayp,8.15
11010,2bed,8.15
11011,2bkz,8.15
11012,2d1n,8.15
11013,2fm2,8.15
11014,2fxu,8.15
11015,2jf4,8.15
11016,2q1q,8.15
11017,2wxi,8.15
11018,2ydk,8.15
11019,2ywp,8.15
11020,2zof,8.15
11021,3bea,8.15
11022,3bu1,8.15
11023,3byo,8.15
11024,3d8w,8.15
11025,3dz5,8.15
11026,3faa,8.15
11027,3frz,8.15
11028,3g0b,8.15
11029,3h0e,8.15
11030,3i1y,8.15
11031,3i4b,8.15
11032,3kb7,8.15
11033,3l54,8.15
11034,3nw6,8.15
11035,3nww,8.15
11036,3nxq,8.15
11037,3oaw,8.15
11038,3r4o,8.15
11039,3rtp,8.15
11040,3v5l,8.15
11041,4alv,8.15
11042,4bcf,8.15
11043,4bcg,8.15
11044,4dbn,8.15
11045,4e4x,8.15
11046,4eo8,8.15
11047,4erw,8.15
11048,4ge7,8.15
11049,4jr5,8.15
11050,4jze,8.15
11051,4kip,8.15
11052,4l33,8.15
11053,4loo,8.15
11054,4lop,8.15
11055,4loq,8.15
11056,4lxb,8.15
11057,4ly9,8.15
11058,4mbi,8.15
11059,4n5t,8.15
11060,4ona,8.15
11061,4op3,8.15
11062,4qiz,8.15
11063,4qt1,8.15
11064,4uwf,8.15
11065,4uwg,8.15
11066,4ycl,8.15
11067,4yl3,8.15
11068,4ytf,8.15
11069,1c8l,8.16
11070,3g08,8.16
11071,3w2s,8.16
11072,4elg,8.16
11073,4zud,8.16
11074,2g63,8.17
11075,3hac,8.17
11076,3krd,8.17
11077,3kwf,8.17
11078,3rz8,8.17
11079,3zim,8.17
11080,4aac,8.17
11081,4ayy,8.17
11082,4k5y,8.17
11083,4mxc,8.17
11084,4q09,8.17
11085,4q1e,8.17
11086,4qjm,8.17
11087,4xct,8.17
11088,4z0q,8.17
11089,1dwd,8.18
11090,2f80,8.18
11091,2iiv,8.18
11092,2pj3,8.18
11093,3ixk,8.18
11094,3l3n,8.18
11095,3oe9,8.18
11096,3wzj,8.18
11097,4anb,8.18
11098,4kbk,8.18
11099,4qlq,8.18
11100,1epq,8.19
11101,1oky,8.19
11102,1p03,8.19
11103,1w6j,8.19
11104,2h5d,8.19
11105,2h65,8.19
11106,2r59,8.19
11107,2wtw,8.19
11108,2yj8,8.19
11109,2zir,8.19
11110,3blr,8.19
11111,3c5u,8.19
11112,3g6h,8.19
11113,3hit,8.19
11114,3hpt,8.19
11115,3roc,8.19
11116,4mc2,8.19
11117,5acy,8.19
11118,5fl5,8.19
11119,1ek2,8.20
11120,1owd,8.20
11121,1sqp,8.20
11122,2jds,8.20
11123,2jdv,8.20
11124,2jjr,8.20
11125,2jkk,8.20
11126,2pqj,8.20
11127,3cjf,8.20
11128,3dcr,8.20
11129,3k23,8.20
11130,3qd4,8.20
11131,4abi,8.20
11132,4bhn,8.20
11133,4ezk,8.20
11134,4gg7,8.20
11135,4jr0,8.20
11136,1o0d,8.21
11137,1onh,8.21
11138,2e9n,8.21
11139,2ff1,8.21
11140,2ff2,8.21
11141,3u6j,8.21
11142,3up7,8.21
11143,3vhe,8.21
11144,4hiq,8.21
11145,4hyu,8.21
11146,4ixh,8.21
11147,4m6q,8.21
11148,4x5p,8.21
11149,5c4o,8.21
11150,1ao8,8.22
11151,1dth,8.22
11152,1dtq,8.22
11153,1efy,8.22
11154,1em6,8.22
11155,1ets,8.22
11156,1h1d,8.22
11157,1h1s,8.22
11158,1jr1,8.22
11159,1kdz,8.22
11160,1pl0,8.22
11161,1rt2,8.22
11162,1sje,8.22
11163,1u9v,8.22
11164,1w11,8.22
11165,2az8,8.22
11166,2c6o,8.22
11167,2cbs,8.22
11168,2cji,8.22
11169,2ow2,8.22
11170,2qzx,8.22
11171,2v16,8.22
11172,2vvv,8.22
11173,2zcs,8.22
11174,3bym,8.22
11175,3d1y,8.22
11176,3d9v,8.22
11177,3h0y,8.22
11178,3hhk,8.22
11179,3i28,8.22
11180,3l3m,8.22
11181,3le9,8.22
11182,3nan,8.22
11183,3pup,8.22
11184,3pz4,8.22
11185,3q77,8.22
11186,3tti,8.22
11187,3u2q,8.22
11188,3upi,8.22
11189,3v5t,8.22
11190,3whw,8.22
11191,3zbx,8.22
11192,4a7c,8.22
11193,4bci,8.22
11194,4bs4,8.22
11195,4bs5,8.22
11196,4c4g,8.22
11197,4c4h,8.22
11198,4deg,8.22
11199,4e20,8.22
11200,4gtt,8.22
11201,4h3g,8.22
11202,4hym,8.22
11203,4i7c,8.22
11204,4j9a,8.22
11205,4kba,8.22
11206,4kju,8.22
11207,4lko,8.22
11208,4lwv,8.22
11209,4otf,8.22
11210,4pdk,8.22
11211,4qyo,8.22
11212,4r3s,8.22
11213,4u0i,8.22
11214,4x7n,8.22
11215,4xcu,8.22
11216,4xh2,8.22
11217,4yl0,8.22
11218,4ylj,8.22
11219,4z7s,8.22
11220,5alz,8.22
11221,5amg,8.22
11222,1ero,8.23
11223,2w1f,8.23
11224,3e5a,8.23
11225,3f16,8.23
11226,3qbn,8.23
11227,4kfq,8.23
11228,4ptg,8.23
11229,4z1n,8.23
11230,1eve,8.24
11231,1jd0,8.24
11232,1ke6,8.24
11233,1nmk,8.24
11234,1npv,8.24
11235,1u9e,8.24
11236,1ydb,8.24
11237,2gde,8.24
11238,3g4l,8.24
11239,3hll,8.24
11240,4hmq,8.24
11241,4rfc,8.24
11242,4x6m,8.24
11243,4z1e,8.24
11244,5a4c,8.24
11245,1auj,8.25
11246,1c1u,8.25
11247,1g4o,8.25
11248,1nvq,8.25
11249,2h5e,8.25
11250,2pbw,8.25
11251,3ug2,8.25
11252,3vjl,8.25
11253,1iky,8.26
11254,2chm,8.26
11255,2e2r,8.26
11256,3cen,8.26
11257,3dpo,8.26
11258,3wc7,8.26
11259,4di2,8.26
11260,4uvy,8.26
11261,5ap0,8.26
11262,1clu,8.27
11263,1wuq,8.27
11264,2cbj,8.27
11265,3hek,8.27
11266,3tdc,8.27
11267,4cps,8.27
11268,4djy,8.27
11269,4eb9,8.27
11270,4l1a,8.27
11271,4lp6,8.27
11272,4xv2,8.27
11273,3l17,8.28
11274,3nw7,8.28
11275,3o95,8.28
11276,3tt4,8.28
11277,4j3d,8.28
11278,4mha,8.28
11279,4oc2,8.28
11280,4oc3,8.28
11281,4pov,8.28
11282,1a28,8.29
11283,2a4w,8.29
11284,4bj8,8.29
11285,4wn1,8.29
11286,1b6l,8.30
11287,1bzf,8.30
11288,1dtt,8.30
11289,1hv5,8.30
11290,1lqf,8.30
11291,1okz,8.30
11292,1q6t,8.30
11293,1qbq,8.30
11294,1rej,8.30
11295,1rww,8.30
11296,1s17,8.30
11297,1sve,8.30
11298,1tft,8.30
11299,1tom,8.30
